N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
180,edisonn180.xlsx,GMM,5000,10,8,2:40,normal,0.1,1,0,0,0.75,0.68,1.0,1.0,1.0,0.72,1.0,0.84,0.88,1.0,1.0,0.68,0.72,1.0,0.7,0.72,0.95,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.7,0.98,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.52,1.0,1.0
181,edisonn181.xlsx,GMM,5000,10,8,2:40,normal,0.1,5,0,0,1.0,0.69,0.97,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,0.69,0.71,1.0,0.69,0.71,0.97,1.0,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.7,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,0.53,1.0,1.0
182,edisonn182.xlsx,GMM,5000,10,8,2:40,normal,0.3,1,0,0,0.98,0.7,0.98,0.98,0.98,0.74,0.73,0.73,0.77,0.95,0.91,0.7,0.73,0.98,0.7,0.73,0.51,0.98,0.95,0.72,0.98,0.95,0.51,0.51,0.98,0.98,NI,0.72,0.98,0.95,0.95,NI,NI,0.95,0.91,0.51,NI,0.95,0.73,0.91,0.91,0.51,0.51,0.98,0.51,0.98,0.98,0.73,0.98,0.98,0.51,0.51,0.51,1.0
183,edisonn183.xlsx,GMM,5000,10,8,2:40,normal,0.3,5,0,0,1.0,0.69,1.0,1.0,1.0,0.69,1.0,1.0,0.84,1.0,1.0,0.68,0.84,1.0,0.68,0.72,0.97,1.0,1.0,0.78,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.7,1.0,1.0,0.71,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.52,1.0,0.9999999999999986
184,edisonn184.xlsx,GMM,5000,10,9,2:40,normal,0.1,1,0,0,1.0,0.73,1.0,1.0,1.0,0.9,1.0,1.0,0.74,1.0,1.0,0.72,0.87,1.0,0.73,0.75,0.98,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.74,1.0,1.0,0.96,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.48,1.0,0.9999999999999992
185,edisonn185.xlsx,GMM,5000,10,9,2:40,normal,0.1,5,0,0,1.0,0.72,0.96,1.0,1.0,0.87,1.0,1.0,0.77,1.0,1.0,0.72,0.87,1.0,0.72,0.75,0.96,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.74,0.96,1.0,0.94,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,1.0,0.9999999999999986
186,edisonn186.xlsx,GMM,5000,10,9,2:40,normal,0.3,1,0,0,0.79,0.72,1.0,1.0,1.0,0.82,1.0,1.0,0.76,1.0,0.98,0.72,0.87,1.0,0.74,0.75,Full NaN,1.0,0.8,0.73,1.0,1.0,0.98,0.48,1.0,1.0,NI,0.74,1.0,0.98,1.0,NI,NI,0.98,0.98,0.48,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.48,1.0,0.9999999999999992
187,edisonn187.xlsx,GMM,5000,10,9,2:40,normal,0.3,5,0,0,1.0,0.73,0.96,1.0,1.0,0.84,1.0,1.0,0.8,1.0,1.0,0.41,0.87,1.0,0.74,0.76,0.96,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.75,0.96,1.0,0.92,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,1.0,1.0
188,edisonn188.xlsx,GMM,5000,10,10,2:40,normal,0.1,1,0,0,1.0,0.75,1.0,1.0,1.0,0.84,1.0,1.0,0.89,1.0,1.0,0.75,0.66,1.0,0.77,0.79,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.77,0.96,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.46,0.46,0.9999999999999998
189,edisonn189.xlsx,GMM,5000,10,10,2:40,normal,0.1,5,0,0,1.0,0.75,0.98,1.0,1.0,0.9,1.0,0.62,0.9,1.0,1.0,0.75,0.62,1.0,0.75,0.77,0.98,1.0,1.0,0.76,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.76,0.98,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.48,1.0,1.0
190,edisonn190.xlsx,GMM,5000,10,10,2:40,normal,0.3,1,0,0,0.97,0.76,0.96,0.97,0.96,0.9,0.96,0.96,0.9,0.77,0.96,0.75,0.89,0.96,0.75,0.78,Full NaN,0.96,0.96,0.97,0.96,0.96,0.96,0.48,0.97,0.96,NI,0.77,0.96,0.96,0.96,NI,NI,0.96,0.96,0.48,NI,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.48,0.48,0.97,0.9999999999999998
191,edisonn191.xlsx,GMM,5000,10,10,2:40,normal,0.3,5,0,0,1.0,0.75,0.98,1.0,1.0,0.75,1.0,0.62,0.79,1.0,1.0,0.48,0.62,1.0,0.75,0.77,0.98,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.76,0.98,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.48,1.0,1.0
192,edisonn192.xlsx,GMM,5000,10,11,2:40,normal,0.1,1,0,0,1.0,0.77,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,0.77,0.6,1.0,0.77,0.8,Full NaN,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.79,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.46,1.0,0.9999999999999992
193,edisonn193.xlsx,GMM,5000,10,11,2:40,normal,0.1,5,0,0,1.0,0.77,0.98,1.0,1.0,0.79,1.0,1.0,0.8,1.0,1.0,0.77,0.64,1.0,0.77,0.8,0.98,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.79,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,0.45,0.8550183484380149
194,edisonn194.xlsx,GMM,5000,10,11,2:40,normal,0.3,1,0,0,0.95,0.77,0.93,0.95,0.98,0.88,0.93,0.98,0.92,0.77,0.98,0.77,0.6,0.93,0.79,0.8,0.46,0.93,0.98,0.78,0.98,0.93,0.46,0.46,0.95,0.98,NI,0.79,0.93,0.98,0.98,NI,NI,0.98,0.98,0.46,NI,0.93,0.93,0.93,0.93,0.91,0.93,0.93,0.91,0.93,0.93,0.93,0.93,0.93,0.46,0.95,0.95,0.9999999999999992
195,edisonn195.xlsx,GMM,5000,10,11,2:40,normal,0.3,5,0,0,1.0,0.76,1.0,1.0,1.0,0.85,1.0,1.0,0.81,1.0,1.0,0.76,0.64,1.0,0.76,0.8,0.98,1.0,1.0,0.84,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.78,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,0.45,1.0000000000000002
196,edisonn196.xlsx,GMM,5000,10,12,2:40,normal,0.1,1,0,0,1.0,0.78,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,0.43,0.73,1.0,0.78,0.81,Full NaN,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.8,0.98,1.0,0.83,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43,0.43,0.43,1.0
197,edisonn197.xlsx,GMM,5000,10,12,2:40,normal,0.1,5,0,0,1.0,0.79,1.0,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.79,0.63,1.0,0.81,0.82,0.99,1.0,1.0,0.81,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.81,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,0.8913347694452779
198,edisonn198.xlsx,GMM,5000,10,12,2:40,normal,0.3,1,0,0,0.84,0.79,0.98,0.98,0.98,0.96,0.98,0.95,0.73,0.79,0.98,0.44,0.85,0.98,0.79,0.82,Full NaN,0.98,0.88,0.82,0.98,0.98,0.44,0.44,0.98,0.98,NI,0.81,0.98,0.96,0.96,NI,NI,0.98,0.93,0.44,NI,0.98,0.98,0.93,0.93,0.89,0.89,0.93,0.98,0.93,0.93,0.98,0.93,0.93,0.44,0.44,0.94,1.0000000000000002
199,edisonn199.xlsx,GMM,5000,10,12,2:40,normal,0.3,5,0,0,1.0,0.79,1.0,1.0,1.0,0.98,1.0,1.0,0.83,1.0,1.0,0.79,0.63,1.0,0.82,0.82,0.99,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.81,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,1.0
200,edisonn200.xlsx,GMM,5000,10,13,2:40,normal,0.1,1,0,0,1.0,0.82,1.0,1.0,1.0,0.94,1.0,1.0,0.61,1.0,1.0,0.81,0.71,1.0,0.81,0.84,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.83,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,0.44,1.0,1.0000000000000002
201,edisonn201.xlsx,GMM,5000,10,13,2:40,normal,0.1,5,0,0,1.0,0.8,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,0.8,0.72,1.0,0.8,0.83,0.99,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.82,1.0,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,0.44,0.44,1.0000000000000002
202,edisonn202.xlsx,GMM,5000,10,13,2:40,normal,0.3,1,0,0,0.82,0.8,1.0,1.0,1.0,0.89,1.0,1.0,0.89,0.8,1.0,0.41,0.71,1.0,0.8,0.83,Full NaN,1.0,1.0,0.88,1.0,1.0,1.0,0.41,1.0,1.0,NI,0.83,1.0,1.0,0.99,NI,NI,1.0,1.0,0.41,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,1.0,1.0000000000000002
203,edisonn203.xlsx,GMM,5000,10,13,2:40,normal,0.3,5,0,0,1.0,0.8,1.0,1.0,1.0,0.85,1.0,1.0,0.92,1.0,1.0,0.8,0.72,1.0,0.8,0.83,0.99,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.82,1.0,1.0,0.86,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44,0.44,0.44,1.0
204,edisonn204.xlsx,GMM,5000,10,14,2:40,normal,0.1,1,0,0,1.0,0.81,1.0,1.0,1.0,0.85,1.0,1.0,0.86,1.0,1.0,0.81,0.61,1.0,0.81,0.84,Full NaN,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.83,0.95,1.0,0.94,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.61,0.61,1.0
205,edisonn205.xlsx,GMM,5000,10,14,2:40,normal,0.1,5,0,0,1.0,0.82,0.93,1.0,1.0,0.86,1.0,1.0,0.92,1.0,1.0,0.82,0.41,1.0,0.82,0.85,0.99,1.0,1.0,0.68,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.84,0.93,1.0,0.92,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,0.41,0.9522642542638748
206,edisonn206.xlsx,GMM,5000,10,14,2:40,normal,0.3,1,0,0,0.97,0.81,0.99,0.99,0.95,0.88,0.86,0.88,0.95,0.82,0.97,0.81,0.61,0.97,0.82,0.85,0.38,0.97,0.99,0.97,0.97,0.97,0.38,0.38,0.99,0.99,NI,0.83,0.97,0.97,0.97,NI,NI,0.97,0.97,0.38,NI,0.97,0.86,0.61,0.61,0.38,0.61,0.61,0.38,0.61,0.61,0.89,0.89,0.89,0.38,0.61,0.61,1.0
207,edisonn207.xlsx,GMM,5000,10,14,2:40,normal,0.3,5,0,0,1.0,0.83,1.0,1.0,1.0,0.95,1.0,1.0,0.86,1.0,1.0,0.81,0.56,1.0,0.81,0.85,0.99,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.83,0.92,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43,0.43,1.0,1.0
208,edisonn208.xlsx,GMM,5000,10,15,2:40,normal,0.1,1,0,0,1.0,0.82,1.0,1.0,1.0,0.98,1.0,1.0,0.84,1.0,1.0,0.2,0.81,1.0,0.82,0.86,0.2,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.84,1.0,1.0,0.98,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.9999999999999996
209,edisonn209.xlsx,GMM,5000,10,15,2:40,normal,0.1,5,0,0,1.0,0.82,0.99,1.0,1.0,0.86,1.0,1.0,0.98,1.0,1.0,0.82,0.68,1.0,0.82,0.85,0.99,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.84,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.42,1.0,
210,edisonn210.xlsx,GMM,5000,10,15,2:40,normal,0.3,1,0,0,0.99,0.82,0.99,0.99,0.98,0.83,0.9,0.99,0.97,0.82,0.9,0.41,0.67,0.98,0.82,0.86,Full NaN,0.98,0.97,0.98,0.98,0.98,0.41,0.41,0.99,0.99,NI,0.85,0.98,0.97,0.98,NI,NI,0.98,0.67,0.41,NI,0.98,0.9,0.95,0.95,0.55,0.95,0.95,0.9,0.95,0.95,0.9,0.98,0.98,0.41,0.41,0.99,0.9999999999999996
211,edisonn211.xlsx,GMM,5000,10,15,2:40,normal,0.3,5,0,0,1.0,0.82,0.99,1.0,1.0,0.86,1.0,1.0,0.56,1.0,1.0,0.82,0.69,1.0,0.82,0.86,Full NaN,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.84,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42,0.42,1.0,0.9999999999999998
212,edisonn212.xlsx,GMM,5000,10,16,2:40,normal,0.1,1,0,0,1.0,0.84,1.0,1.0,1.0,0.98,1.0,1.0,0.96,1.0,1.0,0.4,0.74,1.0,0.84,0.88,Full NaN,0.99,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.87,0.96,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,1.0,1.0
213,edisonn213.xlsx,GMM,5000,10,16,2:40,normal,0.1,5,0,0,1.0,0.84,0.99,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.37,0.52,1.0,0.84,0.88,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.86,0.99,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,0.9999999999999998
214,edisonn214.xlsx,GMM,5000,10,16,2:40,normal,0.3,1,0,0,0.84,0.84,0.97,0.99,0.97,0.87,0.97,0.85,0.79,0.84,0.9,0.41,0.68,0.97,0.84,0.87,0.41,0.96,0.97,0.97,0.97,0.96,0.41,0.41,0.98,0.96,NI,0.85,0.97,0.97,0.98,NI,NI,0.95,0.84,0.41,NI,0.96,0.97,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.41,0.41,0.41,1.0
215,edisonn215.xlsx,GMM,5000,10,16,2:40,normal,0.3,5,0,0,1.0,0.84,0.99,1.0,1.0,0.96,1.0,1.0,0.91,1.0,1.0,0.41,0.52,1.0,0.84,0.87,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.86,0.99,1.0,0.86,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,0.41,0.9999999999999998
216,edisonn216.xlsx,GMM,5000,10,17,2:40,normal,0.1,1,0,0,1.0,0.85,1.0,1.0,1.0,0.97,1.0,1.0,0.92,1.0,1.0,0.4,0.56,1.0,0.85,0.88,Full NaN,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.87,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,0.56,0.4,0.9822929794384324
217,edisonn217.xlsx,GMM,5000,10,17,2:40,normal,0.1,5,0,0,1.0,0.85,1.0,1.0,1.0,0.97,1.0,1.0,0.95,1.0,1.0,0.41,0.57,1.0,0.85,0.89,0.99,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.87,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.41,0.41,0.41,
218,edisonn218.xlsx,GMM,5000,10,17,2:40,normal,0.3,1,0,0,0.88,0.85,0.99,0.99,0.99,0.89,0.99,0.88,0.89,0.86,0.99,0.41,0.67,0.99,0.85,0.89,Full NaN,0.99,0.99,0.86,0.99,0.99,0.97,0.41,0.99,0.99,NI,0.87,0.99,0.98,0.99,NI,NI,0.98,0.97,0.41,NI,0.99,0.99,0.99,0.99,0.57,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.41,0.41,0.41,1.0000000000000004
219,edisonn219.xlsx,GMM,5000,10,17,2:40,normal,0.3,5,0,0,1.0,0.85,1.0,1.0,1.0,0.94,1.0,1.0,0.95,1.0,1.0,0.38,0.57,1.0,0.86,0.9,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.88,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,1.0,1.0
220,edisonn220.xlsx,GMM,5000,10,18,2:40,normal,0.1,1,0,0,1.0,0.86,0.99,1.0,1.0,0.99,1.0,1.0,0.99,0.86,1.0,0.4,0.55,1.0,0.87,0.89,Full NaN,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.88,0.99,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.9805322075332502
221,edisonn221.xlsx,GMM,5000,10,18,2:40,normal,0.1,5,0,0,1.0,0.87,1.0,1.0,1.0,0.93,1.0,1.0,0.91,1.0,1.0,0.37,0.81,1.0,0.87,0.91,0.99,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,0.98,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.37,0.37,
222,edisonn222.xlsx,GMM,5000,10,18,2:40,normal,0.3,1,0,0,0.92,0.87,1.0,1.0,1.0,0.88,1.0,1.0,0.89,0.87,1.0,0.4,0.56,0.99,0.87,0.89,Full NaN,1.0,1.0,0.9,1.0,0.99,1.0,0.4,1.0,1.0,NI,0.88,0.99,1.0,0.98,NI,NI,1.0,0.99,0.4,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.56,1.0,1.0
223,edisonn223.xlsx,GMM,5000,10,18,2:40,normal,0.3,5,0,0,0.89,0.86,1.0,1.0,1.0,0.87,1.0,1.0,0.87,1.0,1.0,0.38,0.74,1.0,0.86,0.89,Full NaN,1.0,1.0,0.56,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.88,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.38,0.9861260307985926
224,edisonn224.xlsx,GMM,5000,10,19,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.4,0.52,1.0,0.88,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,0.98,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0
225,edisonn225.xlsx,GMM,5000,10,19,2:40,normal,0.1,5,0,0,1.0,0.87,0.99,1.0,1.0,0.89,1.0,1.0,0.63,1.0,1.0,0.38,0.72,1.0,0.87,0.9,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.38,0.9833653590669204
226,edisonn226.xlsx,GMM,5000,10,19,2:40,normal,0.3,1,0,0,1.0,0.87,1.0,1.0,1.0,0.95,1.0,1.0,0.95,0.87,1.0,0.38,0.55,1.0,0.94,0.91,Full NaN,1.0,1.0,0.93,1.0,0.97,1.0,0.38,1.0,1.0,NI,0.89,0.97,1.0,0.96,NI,NI,1.0,0.83,0.38,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.38,0.9999999999999998
227,edisonn227.xlsx,GMM,5000,10,19,2:40,normal,0.3,5,0,0,1.0,0.87,1.0,1.0,1.0,0.96,1.0,1.0,0.91,1.0,1.0,0.37,0.55,1.0,0.87,0.9,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.89,0.99,1.0,0.96,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37,0.55,0.55,1.0000000000000002
228,edisonn228.xlsx,GMM,5000,10,20,2:40,normal,0.1,1,0,0,0.89,0.88,1.0,1.0,1.0,0.96,1.0,1.0,0.87,0.92,1.0,0.25,0.64,1.0,0.91,0.91,Full NaN,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,0.991779915040574
229,edisonn229.xlsx,GMM,5000,10,20,2:40,normal,0.1,5,0,0,1.0,0.88,1.0,1.0,1.0,0.97,1.0,1.0,0.97,1.0,1.0,0.39,0.72,1.0,0.88,0.92,0.99,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,0.99,1.0,0.92,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,
230,edisonn230.xlsx,GMM,5000,10,20,2:40,normal,0.3,1,0,0,0.99,0.88,0.99,0.99,0.99,0.9,0.99,0.99,0.93,0.88,0.99,0.39,0.61,0.99,0.88,0.91,Full NaN,0.99,0.99,0.68,0.99,0.99,0.99,0.39,0.99,0.99,NI,0.9,0.99,0.98,0.95,NI,NI,0.99,0.85,0.39,NI,0.99,0.99,0.99,0.93,0.39,0.99,0.99,0.61,0.82,0.82,0.94,0.99,0.93,0.39,0.39,0.39,1.0000000000000002
231,edisonn231.xlsx,GMM,5000,10,20,2:40,normal,0.3,5,0,0,1.0,0.87,1.0,1.0,1.0,0.93,1.0,1.0,0.94,0.88,1.0,0.39,0.54,1.0,0.9,0.91,Full NaN,1.0,1.0,0.71,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.9,0.99,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,1.0000000000000002
232,edisonn232.xlsx,GMM,5000,10,21,2:40,normal,0.1,1,0,0,1.0,0.89,1.0,1.0,1.0,0.91,1.0,1.0,0.97,0.9,1.0,0.39,0.54,1.0,0.89,0.92,Full NaN,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,0.99,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.54,0.39,1.0
