N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,B_H,B_R,C,CH,DB,D_R,DI,K_D,Log_B_W,M_R,PBM,P_B,R_L,R_T,S_S,SD,S_Dbw,Si,T_W,T_WiB,W_G,XB,PC,CE,G_str,G_rex,Conn,CVNN,ICC,CV,LCCV,CSBM,WGLI,MPC,PBMF,MPE,CO,DCVI,GDI11,GDI12,GDI13,GDI21,GDI22,GDI23,GDI31,GDI32,GDI33,GDI41,GDI42,GDI43,GDI51,GDI52,GDI53,UW
689,edisonn689.xlsx,GMM,5000,100,18,2:40,normal,0.1,5,0,0,1.0,0.86,1.0,1.0,1.0,0.87,1.0,1.0,0.9,1.0,1.0,0.4,0.69,1.0,1.0,0.9,0.99,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.91,1.0,1.0,0.97,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0
690,edisonn690.xlsx,GMM,5000,100,18,2:40,normal,0.3,1,0,0,1.0,0.86,1.0,1.0,1.0,0.96,1.0,1.0,0.96,1.0,1.0,0.39,0.71,1.0,Full NaN,0.9,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,0.39,1.0,1.0,NI,0.91,1.0,1.0,0.99,NI,NI,1.0,1.0,0.39,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,1.0,0.9904751117974008
691,edisonn691.xlsx,GMM,5000,100,18,2:40,normal,0.3,5,0,0,1.0,0.87,1.0,1.0,1.0,0.98,1.0,1.0,0.98,1.0,1.0,0.4,0.69,1.0,0.88,0.91,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,1.0
692,edisonn692.xlsx,GMM,5000,100,19,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.88,1.0,1.0,0.97,1.0,1.0,0.39,0.64,1.0,0.84,0.92,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.93,1.0,1.0,0.99,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.39,0.39,1.0
693,edisonn693.xlsx,GMM,5000,100,19,2:40,normal,0.1,5,0,0,1.0,0.88,1.0,1.0,1.0,0.92,1.0,1.0,0.88,1.0,1.0,0.4,0.77,1.0,1.0,0.91,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.9805762367790476
694,edisonn694.xlsx,GMM,5000,100,19,2:40,normal,0.3,1,0,0,0.99,0.87,0.99,0.99,0.99,0.97,0.98,0.99,0.89,0.99,0.99,0.39,0.77,0.99,0.94,0.92,Full NaN,0.99,0.99,0.99,0.99,0.99,0.99,0.39,0.99,0.99,NI,0.93,0.99,0.99,0.99,NI,NI,0.99,0.91,0.39,NI,0.99,0.98,0.99,0.99,0.39,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.39,0.39,0.39,0.9535257614197248
695,edisonn695.xlsx,GMM,5000,100,19,2:40,normal,0.3,5,0,0,1.0,0.88,1.0,1.0,1.0,0.97,1.0,1.0,0.98,1.0,1.0,0.32,0.72,1.0,0.98,0.92,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.92,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,1.0,0.9627299213086804
696,edisonn696.xlsx,GMM,5000,100,20,2:40,normal,0.1,1,0,0,1.0,0.88,1.0,1.0,1.0,0.92,1.0,1.0,0.95,1.0,1.0,0.39,0.83,1.0,1.0,0.92,Full NaN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.93,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39,0.54,0.39,0.9864831401324016
697,edisonn697.xlsx,GMM,5000,100,20,2:40,normal,0.1,5,0,0,1.0,0.89,1.0,1.0,1.0,0.89,1.0,1.0,0.7,1.0,1.0,0.32,0.86,1.0,0.98,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NI,0.94,1.0,1.0,1.0,NI,NI,1.0,1.0,1.0,NI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.32,0.9886504413925656
698,edisonn698.xlsx,GMM,5000,100,20,2:40,normal,0.3,1,0,0,1.0,0.89,1.0,1.0,0.99,0.9,0.99,0.99,0.9,1.0,1.0,0.36,0.83,0.99,1.0,0.93,Full NaN,0.99,0.98,0.98,0.99,0.99,0.99,0.36,1.0,1.0,NI,0.93,0.99,0.99,0.98,NI,NI,0.99,1.0,0.36,NI,0.99,0.99,0.99,0.99,0.61,0.97,0.97,0.98,0.97,0.97,0.99,0.99,0.99,0.36,0.55,0.36,0.9763945653997976
