index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
59,59,edisonn59.xlsx,GMM,5000,2,16,2:40,normal,0.3,5,500,0,59,32,20,35,68,11,8,35,2,35,35,6,18,35,2
60,60,edisonn60.xlsx,GMM,5000,2,17,2:40,normal,0.1,1,500,0,60,36,18,36,70,16,31,36,2,36,36,23,25,31,2
61,61,edisonn61.xlsx,GMM,5000,2,17,2:40,normal,0.1,5,500,0,61,33,7,36,70,3,36,36,34,36,2,3,31,36,4
62,62,edisonn62.xlsx,GMM,5000,2,17,2:40,normal,0.3,1,500,0,62,34,16,36,70,6,31,13,6,36,36,3,5,33,2
63,63,edisonn63.xlsx,GMM,5000,2,17,2:40,normal,0.3,5,500,0,63,34,7,36,70,4,34,36,30,36,2,4,24,34,3
64,64,edisonn64.xlsx,GMM,5000,2,18,2:40,normal,0.1,1,500,0,64,37,20,37,70,15,29,35,26,37,37,4,26,37,2
65,65,edisonn65.xlsx,GMM,5000,2,18,2:40,normal,0.1,5,500,0,65,35,10,37,58,6,33,34,2,37,37,4,22,37,5
66,66,edisonn66.xlsx,GMM,5000,2,18,2:40,normal,0.3,1,500,0,66,30,21,37,68,11,2,11,2,37,37,4,11,34,2
67,67,edisonn67.xlsx,GMM,5000,2,18,2:40,normal,0.3,5,500,0,67,34,12,37,72,6,5,36,4,36,37,4,33,36,4
68,68,edisonn68.xlsx,GMM,5000,2,19,2:40,normal,0.1,1,500,0,68,37,14,38,74,10,37,37,37,38,38,32,27,37,2
69,69,edisonn69.xlsx,GMM,5000,2,19,2:40,normal,0.1,5,500,0,69,36,18,38,74,5,38,38,36,38,2,5,33,38,2
70,70,edisonn70.xlsx,GMM,5000,2,19,2:40,normal,0.3,1,500,0,70,38,15,38,74,5,38,13,4,38,38,6,6,30,2
71,71,edisonn71.xlsx,GMM,5000,2,19,2:40,normal,0.3,5,500,0,71,38,16,38,74,5,38,38,26,38,38,4,30,34,2
72,72,edisonn72.xlsx,GMM,5000,2,20,2:40,normal,0.1,1,500,0,72,38,16,39,76,14,2,39,2,39,39,3,35,35,29
73,73,edisonn73.xlsx,GMM,5000,2,20,2:40,normal,0.1,5,500,0,73,38,12,39,76,12,39,34,34,39,39,10,34,39,2
74,74,edisonn74.xlsx,GMM,5000,2,20,2:40,normal,0.3,1,500,0,74,35,25,39,76,7,20,13,18,39,39,3,4,18,4
75,75,edisonn75.xlsx,GMM,5000,2,20,2:40,normal,0.3,5,500,0,75,38,15,39,52,12,3,26,2,39,39,4,24,32,4
76,76,edisonn76.xlsx,GMM,5000,2,21,2:40,normal,0.1,1,500,0,76,39,17,40,78,13,36,39,3,40,40,3,25,34,30
77,77,edisonn77.xlsx,GMM,5000,2,21,2:40,normal,0.1,5,500,0,77,38,15,40,76,12,5,40,2,40,40,4,40,40,2
78,78,edisonn78.xlsx,GMM,5000,2,21,2:40,normal,0.3,1,500,0,78,33,26,40,78,9,2,9,2,40,40,3,9,36,2
79,79,edisonn79.xlsx,GMM,5000,2,21,2:40,normal,0.3,5,500,0,79,35,16,40,78,13,13,36,13,40,40,4,13,40,2
80,80,edisonn80.xlsx,GMM,5000,2,22,2:40,normal,0.1,1,500,0,80,38,8,41,80,8,41,41,40,41,41,3,37,41,31
81,81,edisonn81.xlsx,GMM,5000,2,22,2:40,normal,0.1,5,500,0,81,40,8,41,78,2,41,40,2,41,41,2,40,41,2
82,82,edisonn82.xlsx,GMM,5000,2,22,2:40,normal,0.3,1,500,0,82,37,16,41,80,5,2,6,2,41,41,6,6,40,2
83,83,edisonn83.xlsx,GMM,5000,2,22,2:40,normal,0.3,5,500,0,83,41,7,41,80,6,2,39,2,41,41,2,39,30,8
84,84,edisonn84.xlsx,GMM,5000,2,23,2:40,normal,0.1,1,500,0,84,41,16,42,74,6,36,40,6,42,42,7,36,42,32
85,85,edisonn85.xlsx,GMM,5000,2,23,2:40,normal,0.1,5,500,0,85,42,8,42,82,4,3,42,3,42,42,4,40,42,2
86,86,edisonn86.xlsx,GMM,5000,2,23,2:40,normal,0.3,1,500,0,86,33,9,42,82,7,42,10,2,42,42,7,7,28,2
87,87,edisonn87.xlsx,GMM,5000,2,23,2:40,normal,0.3,5,500,0,87,39,22,42,80,15,3,42,2,42,42,4,39,42,2
88,88,edisonn88.xlsx,GMM,5000,2,24,2:40,normal,0.1,1,500,0,88,42,11,43,82,7,43,43,9,43,43,7,43,43,2
89,89,edisonn89.xlsx,GMM,5000,2,24,2:40,normal,0.1,5,500,0,89,42,13,43,82,13,14,38,4,43,2,3,38,36,2
90,90,edisonn90.xlsx,GMM,5000,2,24,2:40,normal,0.3,1,500,0,90,43,7,43,84,7,43,7,31,43,43,2,7,37,2
91,91,edisonn91.xlsx,GMM,5000,2,24,2:40,normal,0.3,5,500,0,91,41,14,43,82,14,11,42,2,43,2,3,43,43,33
92,92,edisonn92.xlsx,GMM,5000,2,25,2:40,normal,0.1,1,500,0,92,40,16,44,86,16,2,42,2,44,44,10,42,44,2
93,93,edisonn93.xlsx,GMM,5000,2,25,2:40,normal,0.1,5,500,0,93,44,7,44,86,3,4,44,2,44,44,3,42,44,2
94,94,edisonn94.xlsx,GMM,5000,2,25,2:40,normal,0.3,1,500,0,94,43,11,44,86,10,44,11,43,44,44,7,10,44,2
95,95,edisonn95.xlsx,GMM,5000,2,25,2:40,normal,0.3,5,500,0,95,42,5,44,84,4,2,43,2,44,44,3,26,44,34
96,96,edisonn96.xlsx,GMM,5000,2,26,2:40,normal,0.1,1,500,0,96,45,10,45,78,5,45,44,7,45,45,4,39,45,35
97,97,edisonn97.xlsx,GMM,5000,2,26,2:40,normal,0.1,5,500,0,97,44,22,45,88,15,45,45,2,45,45,4,30,45,2
98,98,edisonn98.xlsx,GMM,5000,2,26,2:40,normal,0.3,1,500,0,98,45,25,45,88,5,6,9,6,45,45,4,6,45,2
99,99,edisonn99.xlsx,GMM,5000,2,26,2:40,normal,0.3,5,500,0,99,43,28,45,54,21,17,45,2,45,45,4,23,45,2
100,100,edisonn100.xlsx,GMM,5000,2,27,2:40,normal,0.1,1,500,0,100,40,18,46,90,4,2,46,2,46,46,4,46,46,36
101,101,edisonn101.xlsx,GMM,5000,2,27,2:40,normal,0.1,5,500,0,101,43,15,46,90,8,46,46,46,46,2,3,43,46,2
102,102,edisonn102.xlsx,GMM,5000,2,27,2:40,normal,0.3,1,500,0,102,44,40,46,90,6,17,32,2,46,46,4,4,45,2
103,103,edisonn103.xlsx,GMM,5000,2,27,2:40,normal,0.3,5,500,0,103,42,12,46,90,11,46,46,39,46,2,3,29,46,36
104,104,edisonn104.xlsx,GMM,5000,2,28,2:40,normal,0.1,1,500,0,104,47,26,47,88,16,47,43,31,47,47,4,34,47,37
105,105,edisonn105.xlsx,GMM,5000,2,28,2:40,normal,0.1,5,500,0,105,47,30,47,54,18,47,47,10,47,47,7,45,47,2
106,106,edisonn106.xlsx,GMM,5000,2,28,2:40,normal,0.3,1,500,0,106,38,11,47,92,3,47,4,41,47,47,4,4,41,2
107,107,edisonn107.xlsx,GMM,5000,2,28,2:40,normal,0.3,5,500,0,107,47,10,47,90,10,47,45,3,47,2,5,46,47,2
108,108,edisonn108.xlsx,GMM,5000,2,29,2:40,normal,0.1,1,500,0,108,43,37,48,90,6,48,47,37,48,48,4,48,48,2
109,109,edisonn109.xlsx,GMM,5000,2,29,2:40,normal,0.1,5,500,0,109,48,29,48,94,13,3,46,2,48,48,15,44,48,4
110,110,edisonn110.xlsx,GMM,5000,2,29,2:40,normal,0.3,1,500,0,110,38,18,48,94,10,10,18,8,48,48,3,13,46,2
111,111,edisonn111.xlsx,GMM,5000,2,29,2:40,normal,0.3,5,500,0,111,48,19,48,94,16,48,47,26,48,48,16,46,48,2
112,112,edisonn112.xlsx,GMM,5000,2,30,2:40,normal,0.1,1,500,0,112,49,13,49,96,13,49,49,49,49,48,4,49,49,39
113,113,edisonn113.xlsx,GMM,5000,2,30,2:40,normal,0.1,5,500,0,113,48,9,49,96,7,25,49,2,49,49,3,44,49,4
114,114,edisonn114.xlsx,GMM,5000,2,30,2:40,normal,0.3,1,500,0,114,44,9,49,96,5,42,5,2,49,49,5,5,46,3
115,115,edisonn115.xlsx,GMM,5000,2,30,2:40,normal,0.3,5,500,0,115,45,7,49,88,6,6,49,2,49,49,3,44,49,4
116,116,edisonn116.xlsx,GMM,5000,2,31,2:40,normal,0.1,1,500,0,116,49,36,50,98,20,50,50,2,50,2,3,35,50,3
117,117,edisonn117.xlsx,GMM,5000,2,31,2:40,normal,0.1,5,500,0,117,49,6,50,68,4,50,50,2,50,50,3,50,50,2
118,118,edisonn118.xlsx,GMM,5000,2,31,2:40,normal,0.3,1,500,0,118,40,13,50,98,5,50,35,6,50,50,3,4,49,3
119,119,edisonn119.xlsx,GMM,5000,2,31,2:40,normal,0.3,5,500,0,119,47,17,50,98,16,2,50,2,50,50,3,45,50,2
120,120,edisonn120.xlsx,GMM,5000,2,32,2:40,normal,0.1,1,500,0,120,50,22,51,100,3,51,51,47,51,51,2,43,51,41
121,121,edisonn121.xlsx,GMM,5000,2,32,2:40,normal,0.1,5,500,0,121,44,14,51,100,14,51,51,47,51,51,3,51,51,2
122,122,edisonn122.xlsx,GMM,5000,2,32,2:40,normal,0.3,1,500,0,122,49,40,51,100,3,2,7,2,51,51,2,2,43,2
123,123,edisonn123.xlsx,GMM,5000,2,32,2:40,normal,0.3,5,500,0,123,51,24,51,100,6,3,50,2,51,51,6,51,51,2
124,124,edisonn124.xlsx,GMM,5000,2,33,2:40,normal,0.1,1,500,0,124,48,44,52,102,37,2,48,2,52,52,3,44,52,3
125,125,edisonn125.xlsx,GMM,5000,2,33,2:40,normal,0.1,5,500,0,125,52,15,52,102,9,13,52,11,52,51,3,52,52,2
126,126,edisonn126.xlsx,GMM,5000,2,33,2:40,normal,0.3,1,500,0,126,51,46,52,102,4,52,44,2,52,52,3,3,47,2
127,127,edisonn127.xlsx,GMM,5000,2,33,2:40,normal,0.3,5,500,0,127,52,17,52,102,17,52,52,2,52,52,3,40,52,2
128,128,edisonn128.xlsx,GMM,5000,2,34,2:40,normal,0.1,1,500,0,128,51,36,53,102,13,6,53,3,53,53,3,41,53,2
129,129,edisonn129.xlsx,GMM,5000,2,34,2:40,normal,0.1,5,500,0,129,51,14,53,102,30,25,53,2,53,53,2,51,48,2
130,130,edisonn130.xlsx,GMM,5000,2,34,2:40,normal,0.3,1,500,0,130,53,30,53,104,12,3,26,3,53,53,3,12,49,2
131,131,edisonn131.xlsx,GMM,5000,2,34,2:40,normal,0.3,5,500,0,131,53,8,53,104,8,53,53,41,53,53,2,53,43,2
