index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,level_0,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
11,11,edisonn11.xlsx,GMM,5000,2,4,2:40,gamma,0.3,5,500,0,11,11,0.7381762782344833,0.7376668163635307,0.7163953910880541,0.6239888396026423,0.4921782160824203,0.8785135269415094,0.7147542616365461,0.4921782160824203,0.7163953910880541,0.7163953910880541,0.4921782160824203,0.4921782160824203,0.7163953910880541,0.5008770975060788
12,12,edisonn12.xlsx,GMM,5000,2,5,2:40,gamma,0.1,1,500,0,12,12,0.7901738805172449,0.7670971433076537,0.7418474040655331,0.639583778376975,0.4540507776873699,0.915037849863902,0.6238633032538177,0.4540507776873699,0.7418474040655331,0.7418474040655331,0.4540507776873699,0.4540507776873699,0.7418474040655331,0.4525637474692088
13,13,edisonn13.xlsx,GMM,5000,2,5,2:40,gamma,0.1,5,500,0,13,13,0.9317459919246232,0.9296736297453013,0.9261173135217534,0.9066792332907342,0.5873166291737617,0.9067983826215599,0.7678438221539421,0.5873166291737617,0.9261173135217534,0.9261173135217534,0.5873166291737617,0.5873166291737617,0.9261173135217534,0.5918544550194781
14,14,edisonn14.xlsx,GMM,5000,2,5,2:40,gamma,0.3,1,500,0,14,14,0.5528378127676398,0.5480082437362753,0.5395028143557071,0.4831094276227479,0.44096734516911446,0.6415058604842631,0.5868828138619723,0.44096734516911446,0.5395028143557071,0.5395028143557071,0.44096734516911446,0.44096734516911446,0.5395028143557071,0.7391205671480029
15,15,edisonn15.xlsx,GMM,5000,2,5,2:40,gamma,0.3,5,500,0,15,15,0.8594620460785101,0.8046760795140989,0.7844680406373179,0.7049612031745516,0.573903334914425,0.9315993347038418,0.7671046116334878,0.573903334914425,0.7844680406373179,0.7844680406373179,0.573903334914425,0.573903334914425,0.7844680406373179,0.5754417785944532
16,16,edisonn16.xlsx,GMM,5000,2,6,2:40,gamma,0.1,1,500,0,16,16,0.8061364767702087,0.8060350211080778,0.7729593255114177,0.6667313580185102,0.5437227717191576,0.9625445394399558,0.695999190238023,0.5437227717191576,0.7729593255114177,0.7729593255114177,0.5437227717191576,0.5437227717191576,0.7729593255114177,0.9335539418947956
17,17,edisonn17.xlsx,GMM,5000,2,6,2:40,gamma,0.1,5,500,0,17,17,0.9393535076077024,0.9376093581994847,0.9319736763528762,0.8610654729573061,0.5240282289158466,0.9667714848532569,0.7127809190905706,0.5240282289158466,0.9319736763528762,0.9319736763528762,0.5240282289158466,0.5240282289158466,0.9319736763528762,0.5244699074522164
18,18,edisonn18.xlsx,GMM,5000,2,6,2:40,gamma,0.3,1,500,0,18,18,0.5906227385582116,0.5819784726981804,0.5705448686645805,0.5162391160963093,0.5089937720098505,0.642368910807499,0.6753490772432565,0.5089937720098505,0.5705448686645805,0.5705448686645805,0.5089937720098505,0.5089937720098505,0.5705448686645805,0.7525515254902585
19,19,edisonn19.xlsx,GMM,5000,2,6,2:40,gamma,0.3,5,500,0,19,19,0.8377087646099098,0.8154860010781113,0.8131226936369319,0.7134959514202298,0.5240282289158466,0.9524777946985146,0.7074624031521387,0.5240282289158466,0.8131226936369319,0.8131226936369319,0.5240282289158466,0.5240282289158466,0.8131226936369319,0.9368841585263894
20,20,edisonn20.xlsx,GMM,5000,2,7,2:40,gamma,0.1,1,500,0,20,20,0.7752938988278294,0.9911042140397189,0.7752938988278294,0.6839170284203371,0.8239462304938632,0.8725796061025979,0.8725796061025979,0.4396325256872065,0.7752938988278294,0.7752938988278294,0.6107513805595998,0.8725796061025979,0.8725796061025979,0.9396482885641804
21,21,edisonn21.xlsx,GMM,5000,2,7,2:40,gamma,0.1,5,500,0,21,21,0.9333068494356617,0.9654486799992484,0.9333068494356617,0.8265697396052357,0.8637375438375405,0.9530946524585735,0.9530946524585735,0.49086861256689296,0.9333068494356617,0.9333068494356617,0.6613722745046315,0.9530946524585735,0.9530946524585735,0.4994804485804523
22,22,edisonn22.xlsx,GMM,5000,2,7,2:40,gamma,0.3,1,500,0,22,22,0.5958511222428378,0.7021904276794257,0.5958511222428378,0.5322356062448409,0.7089888846467818,0.6432980228775969,0.6432980228775969,0.49200336837211933,0.5958511222428378,0.5958511222428378,0.6197468894575745,0.6432980228775969,0.6432980228775969,0.7962744234526781
