index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
16,16,edisonn16.xlsx,GMM,5000,2,6,2:40,uniform,0.1,1,500,0,16,0.8770958868404608,0.871899541388053,0.8396159830585845,0.7086292096746232,0.7007738320420771,0.7007738320420771,0.7007738320420771,0.508478078115411,0.8396159830585845,0.8396159830585845,0.7007738320420771,0.7007738320420771,0.8396159830585845,0.508478078115411
17,17,edisonn17.xlsx,GMM,5000,2,6,2:40,uniform,0.1,5,500,0,17,0.9369434756629272,0.8786309342019144,0.9323383974201961,0.8612442933456144,0.7127809190905708,0.7127809190905708,0.7127809190905708,0.524028228915848,0.9323383974201961,0.9323383974201961,0.7127809190905708,0.7127809190905708,0.9323383974201961,0.524028228915848
18,18,edisonn18.xlsx,GMM,5000,2,6,2:40,uniform,0.3,1,500,0,18,0.7157641524351794,0.7693272428218761,0.7079977298039267,0.6309153805566838,0.6860191853150447,0.6860191853150447,0.6860191853150447,0.5256391001726105,0.7079977298039267,0.7079977298039267,0.6860191853150447,0.6860191853150447,0.7079977298039267,0.761390692339631
19,19,edisonn19.xlsx,GMM,5000,2,6,2:40,uniform,0.3,5,500,0,19,0.9078005465805832,0.8727143938103137,0.8736684063839562,0.761520519317438,0.7125925350140614,0.7125925350140614,0.7125925350140614,0.5240006826069603,0.8736684063839562,0.8736684063839562,0.7125925350140614,0.7125925350140614,0.8736684063839562,0.9169354961525596
20,20,edisonn20.xlsx,GMM,5000,2,7,2:40,uniform,0.1,1,500,0,20,0.8395092495044018,1.0000000000000002,0.8395092495044018,0.7185950352883568,0.7788000638672318,0.900518711353238,0.870699748492598,0.900518711353238,0.8395092495044018,0.8395092495044018,0.9540312363718416,0.900518711353238,0.900518711353238,0.950604458651534
21,21,edisonn21.xlsx,GMM,5000,2,7,2:40,uniform,0.1,5,500,0,21,0.9334826811375324,0.9654486799992483,0.9334826811375324,0.9154813355176405,0.8179764534440409,0.9494858662116409,0.9383931486543658,0.9494858662116409,0.9334826811375324,0.9334826811375324,0.955165901879539,0.9494858662116409,0.9494858662116409,0.8179764534440409
22,22,edisonn22.xlsx,GMM,5000,2,7,2:40,uniform,0.3,1,500,0,22,0.7334698115513538,0.8495349860648714,0.7334698115513538,0.6553135611109228,0.7918264079512247,0.8034478745040834,0.7501050665107001,0.8034478745040834,0.7334698115513538,0.7334698115513538,0.8303557573593464,0.8034478745040834,0.8034478745040834,0.8635188954920506
23,23,edisonn23.xlsx,GMM,5000,2,7,2:40,uniform,0.3,5,500,0,23,0.8574960405771318,0.961945340496528,0.8574960405771318,0.7693559889276227,0.8147445152031187,0.9471835161594377,0.8889878325292796,0.9471835161594377,0.8574960405771318,0.8574960405771318,0.9534137905361104,0.9471835161594377,0.9471835161594377,0.892025441049224
24,24,edisonn24.xlsx,GMM,5000,2,8,2:40,uniform,0.1,1,500,0,24,0.8309903166816641,0.979511047670378,0.8309903166816641,0.743106218436146,0.7344756521440877,0.932439866618895,0.8712184245117952,0.932439866618895,0.8309903166816641,0.8309903166816641,0.962165266391358,0.932439866618895,0.932439866618895,0.932439866618895
25,25,edisonn25.xlsx,GMM,5000,2,8,2:40,uniform,0.1,5,500,0,25,0.9413972784326107,0.9814581526263424,0.9413972784326107,0.8887529195045571,0.7439431315538888,0.9371018267017122,0.9458447725546372,0.9371018267017122,0.9413972784326107,0.9413972784326107,0.9414091254549335,0.9371018267017122,0.9371018267017122,0.4199963142839532
