index,N_object,Name,Algoritmos de clustering,samples,n_feats,k_real,k_GMM,distributions,compactness_factor,alpha_n,outliers,add_noise,index,silluette,bh,rtl,sd,db,xb,ch,dnn,mr,pb,rt,wg,c,UW
92,92,edisonn92.xlsx,GMM,5000,2,25,2:40,uniform,0.1,1,500,0,92,44,17,44,86,12,44,43,2,44,44,34,43,44,2
93,93,edisonn93.xlsx,GMM,5000,2,25,2:40,uniform,0.1,5,500,0,93,43,5,44,86,4,44,39,36,44,44,3,40,44,2
94,94,edisonn94.xlsx,GMM,5000,2,25,2:40,uniform,0.3,1,500,0,94,43,14,44,86,11,2,30,2,44,44,7,27,44,2
95,95,edisonn95.xlsx,GMM,5000,2,25,2:40,uniform,0.3,5,500,0,95,44,9,44,86,5,44,44,40,44,44,3,44,40,2
96,96,edisonn96.xlsx,GMM,5000,2,26,2:40,uniform,0.1,1,500,0,96,43,6,45,88,16,4,44,3,45,45,6,45,45,2
97,97,edisonn97.xlsx,GMM,5000,2,26,2:40,uniform,0.1,5,500,0,97,43,11,45,84,9,45,43,10,45,45,4,43,45,2
98,98,edisonn98.xlsx,GMM,5000,2,26,2:40,uniform,0.3,1,500,0,98,41,21,45,80,4,29,32,10,45,45,4,31,42,2
99,99,edisonn99.xlsx,GMM,5000,2,26,2:40,uniform,0.3,5,500,0,99,44,20,45,78,16,4,45,3,45,45,4,26,45,2
100,100,edisonn100.xlsx,GMM,5000,2,27,2:40,uniform,0.1,1,500,0,100,43,27,46,84,22,46,46,2,46,46,4,43,46,2
101,101,edisonn101.xlsx,GMM,5000,2,27,2:40,uniform,0.1,5,500,0,101,45,14,46,62,14,46,41,41,46,2,5,46,46,2
102,102,edisonn102.xlsx,GMM,5000,2,27,2:40,uniform,0.3,1,500,0,102,44,25,46,90,14,2,39,2,46,46,4,32,42,2
103,103,edisonn103.xlsx,GMM,5000,2,27,2:40,uniform,0.3,5,500,0,103,46,16,46,90,11,46,43,38,46,2,3,33,46,2
104,104,edisonn104.xlsx,GMM,5000,2,28,2:40,uniform,0.1,1,500,0,104,46,13,47,92,3,47,47,45,47,47,4,47,47,2
105,105,edisonn105.xlsx,GMM,5000,2,28,2:40,uniform,0.1,5,500,0,105,43,18,47,92,11,47,46,5,47,47,3,46,47,2
106,106,edisonn106.xlsx,GMM,5000,2,28,2:40,uniform,0.3,1,500,0,106,47,9,47,92,3,38,36,34,47,47,4,36,38,2
107,107,edisonn107.xlsx,GMM,5000,2,28,2:40,uniform,0.3,5,500,0,107,41,5,47,88,2,5,47,4,47,2,4,43,47,2
108,108,edisonn108.xlsx,GMM,5000,2,29,2:40,uniform,0.1,1,500,0,108,48,36,44,90,20,44,44,43,48,48,4,46,44,4
109,109,edisonn109.xlsx,GMM,5000,2,29,2:40,uniform,0.1,5,500,0,109,48,13,48,76,12,3,48,2,48,48,4,42,48,4
110,110,edisonn110.xlsx,GMM,5000,2,29,2:40,uniform,0.3,1,500,0,110,46,26,48,94,11,33,30,30,48,48,4,20,47,2
111,111,edisonn111.xlsx,GMM,5000,2,29,2:40,uniform,0.3,5,500,0,111,47,34,48,94,16,4,48,2,48,48,12,35,48,2
112,112,edisonn112.xlsx,GMM,5000,2,30,2:40,uniform,0.1,1,500,0,112,48,46,49,84,5,49,46,49,49,49,5,49,49,2
113,113,edisonn113.xlsx,GMM,5000,2,30,2:40,uniform,0.1,5,500,0,113,49,8,49,96,6,49,49,47,49,49,3,48,49,4
